title,star_rating,content_rating,genre,duration,actors_list
The Shawshank Redemption,9.3,R,Crime,142,"[u'Tim Robbins', u'Morgan Freeman', u'Bob Gunton']"
The Godfather,9.2,R,Crime,175,"[u'Marlon Brando', u'Al Pacino', u'James Caan']"
The Godfather: Part II,9.1,R,Crime,200,"[u'Al Pacino', u'Robert De Niro', u'Robert Duvall']"
The Dark Knight,9.0,PG-13,Action,152,"[u'Christian Bale', u'Heath Ledger', u'Aaron Eckhart']"
Pulp Fiction,8.9,R,Crime,154,"[u'John Travolta', u'Uma Thurman', u'Samuel L. Jackson']"
12 Angry Men,8.9,NOT RATED,Drama,96,"[u'Henry Fonda', u'Lee J. Cobb', u'Martin Balsam']"
"The Good, the Bad and the Ugly",8.9,NOT RATED,Western,161,"[u'Clint Eastwood', u'Eli Wallach', u'Lee Van Cleef']"
The Lord of the Rings: The Return of the King,8.9,PG-13,Adventure,201,"[u'Elijah Wood', u'Viggo Mortensen', u'Ian McKellen']"
Schindler's List,8.9,R,Biography,195,"[u'Liam Neeson', u'Ralph Fiennes', u'Ben Kingsley']"
Fight Club,8.9,R,Drama,139,"[u'Brad Pitt', u'Edward Norton', u'Helena Bonham Carter']"
The Lord of the Rings: The Fellowship of the Ring,8.8,PG-13,Adventure,178,"[u'Elijah Wood', u'Ian McKellen', u'Orlando Bloom']"
Inception,8.8,PG-13,Action,148,"[u'Leonardo DiCaprio', u'Joseph Gordon-Levitt', u'Ellen Page']"
Star Wars: Episode V - The Empire Strikes Back,8.8,PG,Action,124,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
Forrest Gump,8.8,PG-13,Drama,142,"[u'Tom Hanks', u'Robin Wright', u'Gary Sinise']"
The Lord of the Rings: The Two Towers,8.8,PG-13,Adventure,179,"[u'Elijah Wood', u'Ian McKellen', u'Viggo Mortensen']"
Interstellar,8.7,PG-13,Adventure,169,"[u'Matthew McConaughey', u'Anne Hathaway', u'Jessica Chastain']"
One Flew Over the Cuckoo's Nest,8.7,R,Drama,133,"[u'Jack Nicholson', u'Louise Fletcher', u'Michael Berryman']"
Seven Samurai,8.7,UNRATED,Drama,207,"[u'Toshir\xf4 Mifune', u'Takashi Shimura', u'Keiko Tsushima']"
Goodfellas,8.7,R,Biography,146,"[u'Robert De Niro', u'Ray Liotta', u'Joe Pesci']"
Star Wars,8.7,PG,Action,121,"[u'Mark Hamill', u'Harrison Ford', u'Carrie Fisher']"
The Matrix,8.7,R,Action,136,"[u'Keanu Reeves', u'Laurence Fishburne', u'Carrie-Anne Moss']"
City of God,8.7,R,Crime,130,"[u'Alexandre Rodrigues', u'Matheus Nachtergaele', u'Leandro Firmino']"
It's a Wonderful Life,8.7,APPROVED,Drama,130,"[u'James Stewart', u'Donna Reed', u'Lionel Barrymore']"
The Usual Suspects,8.7,R,Crime,106,"[u'Kevin Spacey', u'Gabriel Byrne', u'Chazz Palminteri']"
Se7en,8.7,R,Drama,127,"[u'Morgan Freeman', u'Brad Pitt', u'Kevin Spacey']"
